Energy (keV),Geometric Factor (cm^2 sr),Gamma Flux (ph cm^-2 sr^-1 s^-1 MeV^-1),Count Rate (ph s^-1 MeV^-1)
100,0.0,0.56501501784910158,0.0
200,0.0,0.12730501155464233,0.0
300,0.0,0.053241378768475664,0.0
400,0.0,0.028683425139074622,0.0
500,0.0,0.017753111553085517,0.0
600,0.0,0.011995954311281783,0.0
700,0.0,0.0086119045028025323,0.0
800,0.0,0.006462737543963531,0.0
900,0.0,0.0050169364063263507,0.0
1000,0.0,0.0040000000000000001,0.0
1100,0.00024871403090745181,0.0032588601094014065,8.1052423397272325e-07
1200,0.00063955036519059046,0.0027028398431252726,1.7286022087224463e-06
1300,0.0014685971348820965,0.0022755259045309814,3.34183082374419e-06
1400,0.0027398021817424058,0.0019403707292777689,5.3162319574643339e-06
1500,0.0043189388859167033,0.0016728761301159991,7.2250497696798395e-06
1600,0.0062217986144467319,0.0014561363003073784,9.0597868156980367e-06
1700,0.0083102069057172413,0.0012781882190154989,1.062200856446902e-05
1800,0.010994739302813545,0.001130379064272685,1.2428223125036488e-05
1900,0.013781915585681179,0.0010063284463818693,1.3869133699504612e-05
2000,0.016383543305808334,0.00090125046261083032,1.4765675983564333e-05
3000,0.047018795366789698,0.00037692009653941496,1.7722328888817368e-05
4000,0.082036151781854749,0.00020306309908905889,1.6658515218163846e-05
5000,0.10907886784083959,0.00012568240483708232,1.3709294427143001e-05
6000,0.13556888605336342,8.4924852843366636e-05,1.1513167698221029e-05
7000,0.15049172790781054,6.0967614882778287e-05,9.1751217101272496e-06
8000,0.18021897636389167,4.5752677998300804e-05,8.2455007947605189e-06
9000,0.19044388652342026,3.551718979382047e-05,6.7640316627251261e-06
10000,0.20765647659892009,2.8317831375365524e-05,5.8803810883307558e-06
20000,0.31835395956153834,6.3803646567959158e-06,2.0312143519374755e-06
30000,0.38353282702633246,2.6683899339474114e-06,1.0234151349754593e-06
40000,0.43698660446263243,1.4375766496407778e-06,6.2820173878129083e-07
50000,0.46272653274067349,8.8976328675673029e-07,4.1171708064088739e-07
60000,0.48870333152434065,6.0122191559904684e-07,2.9381915313870013e-07
70000,0.51092968063559385,4.3161765940218525e-07,2.2052627287504102e-07
80000,0.52597095774285407,3.2390415513181957e-07,1.7036417869157311e-07
90000,0.54953957305265544,2.5144244787706536e-07,1.3817757545367707e-07
100000,0.55329002272506933,2.00474893450909e-07,1.1092075835325929e-07
200000,0.63307590470347574,4.5169522616122157e-08,2.8595736395225645e-08
300000,0.66876439421781486,1.8890754048311386e-08,1.2633463687436697e-08
400000,0.69939964627879625,1.0177263288422615e-08,7.1179743440089555e-09
500000,0.70078139089494873,6.2990416795920215e-09,4.414251189529751e-09
600000,0.71720441261836132,4.2563252062770134e-09,3.052655219480631e-09
700000,0.72478426879839808,3.0556190243952577e-09,2.2146646003227912e-09
800000,0.72427104936954145,2.2930658117007755e-09,1.6608011817139401e-09
900000,0.73429856744104827,1.7800762098979677e-09,1.3071074108639683e-09
1000000,0.74199685887389788,1.4192535569343028e-09,1.0530816811908593e-09
